date,source,title
2024-12-20,unknown,"German troops must be ‘fit’ for war if Putin attacks, Defense Minister Pistorius says"
2024-12-22,unknown,Russian Jets Fled Millerovo Air Base. Ukrainian Drones Came After The Ones Left Behind.
2024-12-24,fox-news,Zelenskyy lambastes Putin over Christmas strikes: 'What could be more inhumane?'
2024-12-25,unknown,Researchers Find New Ways to Support Children Impacted by War in Ukraine
2024-12-27,unknown,Zelensky: Russia must give info about plane crash
2024-12-28,cbs-news,A look ahead: Prospects for Russia's continued war on Ukraine in 2025
2024-12-30,unknown,"Opinion: Hold Ukraine accountable for corruption, misspent aid"
2025-01-01,unknown,Slovak PM Threatens to Cut Support for Ukrainians in Slovakia Over Gas Transit Dispute
2025-01-02,unknown,Ukraine’s Zelensky: Trump ‘Can be Decisive’ and ‘Capable of Stopping Putin’
2025-01-04,unknown,Ukraine renews offensive inside Russia - Financial Times
2025-01-05,business-insider,"Ukraine says 3,800 North Koreans have been killed or wounded so far in Kursk"
2025-01-07,rt,German couple confess to killing Ukrainian migrants for baby
2025-01-09,unknown,"US, UK Unveil Widespread Sanctions Against Russia's Energy Sector"
2025-01-10,unknown,How the US sanctioned itself in Ukraine
2025-01-12,unknown,From Gaza To Ukraine: What Biden Said In His Final Foreign Policy Speech
2025-01-13,unknown,North Korean soldier fighting for Russia blows himself up to avoid capture as ‘brainwashed’ troops told being captured is treason: Kyiv officials
2025-01-15,newsweek,Putin Ally Warns Russia Needs Land Crossing Through NATO Countries
2025-01-16,rt,German FM blasts own govt over Ukraine aid
2025-01-18,the-irish-times,Russia says has taken control of two more settlements in Ukraine’s Donetsk
2025-01-20,the-times-of-india,No confirmation of participation of Indians in Russian forces: Ukraine
2025-01-21,unknown,"Trump threatens Russia, others with tariffs if Ukraine deal not reached - Reuters"
2025-01-23,unknown,Trump — the new sheriff in town — has a vulnerable Russia panicking
2025-01-24,unknown,VOA Russian: Exiled Russian artists raise funds to help Ukraine
2025-01-26,unknown,North Korea's entry makes Ukraine war a global conflict: Estonia FM
2025-01-28,unknown,Ukraine and US diplomatic chiefs invited to next EU ministers meeting
2025-01-29,unknown,'The Region Will Die': Ukraine's Donbas Mines Within Russia's Grasp
2025-01-31,unknown,"GERMAN DEMISE: Unless Germany takes an additional credit of 12-15 billion Euros, due to Ukraine, the government will have to cut: - Pensions ... - Health spending (Olaf Scholz. Video at URL)"
2025-02-01,unknown,"Ukraine says U.S. push for truce, elections is 'failed plan' unless it consists of more"
2025-02-03,newsweek,Putin Ally's Death Was Result of Suspected Suicide Bombing: Reports
2025-02-04,unknown,Former Zelenskyy press secretary makes the case for ceasefire
2025-02-06,unknown,Ukraine's Western backers will meet for arms talks as doubts over U.S. intentions grow
2025-02-08,rt,Critical Ukrainians should be jailed for treason – ex-FM
2025-02-09,unknown,Zelensky To Meet JD Vance In Munich On Friday: Kyiv Presidency
2025-02-11,unknown,European powers demand seat at table in Ukraine talks
2025-02-12,the-irish-times,Ukrainians question Kremlin’s desire to end war as EU warns against ‘appeasement’
2025-02-14,the-times-of-india,"EAM, Ukraine minister hold talks on bid to end war"
2025-02-16,rt,UK and EU ‘incapable of negotiation’ – Moscow
2025-02-17,unknown,"US, Russian officials meet to discuss Ukraine war, bilateral relations"
2025-02-19,unknown,"Zelensky hails ‘good talk’ with Trump envoy, says Ukraine is ready for deal with security guarantees"
2025-02-20,unknown,"In reversal, Trump says Russia attacked Ukraine"
2025-02-22,unknown,トランプ「ゼレンスキーのせいで～」FOX司会者「それプーチンのせいですよね？」トランプ「…」
2025-02-24,unknown,"With Ukraine war aid reaching $280 billion, who’s really funding the most – the US or EU?"
2025-02-25,unknown,President Trump talks Ukraine and federal workforce cuts in cabinet meeting
2025-02-27,unknown,Zelensky Says No Peace Talks Without Security Guarantee
2025-02-28,the-jerusalem-post,Trump admin. seeks public apology from Zelensky to mend US-Ukraine ties
2025-03-02,unknown,Warmonger John Bolton Urges Sec. of State Rubio to Resign in Solidarity with Zelensky.
2025-03-03,unknown,Democrats Try To Use Colby Confirmation Hearing To Sabotage Trump’s Russia-Ukraine Negotiations
2025-03-05,unknown,General Assembly Debates Russian Federation’s Security Council Veto of European Amendments Seeking ‘Just’ Peace in Ukraine Based on United Nations Charter
2025-03-07,unknown,Pro-Ukranian protesters heckle Vance outside Cincinnati home
2025-03-08,unknown,Rubio and Musk turn on Polish foreign minister in spat over Starlink use in Ukraine: ‘Be quiet small man’
2025-03-10,unknown,Morning Bid: Another sea of red as tariffs trump ceasefire hopes
2025-03-11,rt,The battle for Kursk: How Russian soldiers crushed Ukrainian defenses in Sudzha
2025-03-13,rt,Ukrainian military contradicts Trump on Kursk Region ‘encirclement’
2025-03-15,unknown,"Russia, Ukraine Continue Air Attacks With Ceasefire Prospects Uncertain"
2025-03-16,rt,US could recognize Crimea as Russian – Semafor
2025-03-18,unknown,"Trump, Zelenskyy pledge in phone call to work for end to war in Ukraine"
2025-03-19,unknown,"Trump says US will sign Ukraine minerals deal soon, peace efforts going 'pretty well'"
2025-03-21,unknown,Russia’s RS-28 Sarmat Nuclear Missile Could Destroy the World
2025-03-22,unknown,"An interview with Helsing co-CEO Torsten Reil on delivering the defense tech company's AI-enabled strike drones to Ukraine, the herd mentality of VCs, and more (John Thornhill/Financial Times)"
2025-03-24,rt,Russia and US agree list of energy facilities for truce with Ukraine – Kremlin
2025-03-26,unknown,EU Leaders Fear Peace in Ukraine – French Army Veteran
2025-03-27,rt,Paranoia rebranded: The EU is desperate to sell its people more Ukraine war
2025-03-29,unknown,"Trump ‘running out of patience’ with Putin over Ukraine ceasefire, says Finnish president"
2025-03-30,unknown,Kremlin says it's working on Ukraine peace after Trump says he's ‘p***ed off’ with Putin
2025-04-01,unknown,Italy’s Meloni strains to hold her coalition together over Ukraine and EU rearmament
2025-04-03,unknown,Ukraine says Russian strike kills 16 in Kryvyi Rih; Moscow says was targeting military
2025-04-04,unknown,Zelenskyy meets European military leaders to plan for a peacekeeping force
2025-04-06,unknown,Pope Francis sending Cardinal Krajewski back to Ukraine to deliver 4 more ambulances
2025-04-07,unknown,"In 'Era of Savage Cuts’, UN Aid Chief Urges Security Council to Provide Security, Resources for Saving as Many Survivors Possible from Russian Airstrikes in Ukraine"
2025-04-09,unknown,"Cardinal Krajewski in Ukraine: ‘People are hungry, living in poverty in the war zone’"
2025-04-11,rt,Euro-Atlantic community gearing for war – Lavrov
2025-04-12,unknown,"Germany willing to send Taurus missiles to Ukraine, says Merz"
2025-04-14,rt,Russian MP threatens OSINT analysts with treason charges
2025-04-15,unknown,"Europe braces for long Ukraine war, despite Trump assurance on peace talks"
2025-04-17,unknown,Trump says US could walk away from Russia-Ukraine war deal - Politico
2025-04-18,unknown,How Russia recruits troops in occupied Ukrainian territories
2025-04-20,al-jazeera-english,"Trump live news: US president hails ‘good meetings’ on Iran, Ukraine"
2025-04-22,unknown,London talks end without Ukraine war peace deal as Zelensky says ‘emotions have run high’ over US bid to recognize Crimea as Russian
2025-04-23,unknown,Trump says Russia has made a 'pretty big concession' by not seizing all of Ukraine
2025-04-25,unknown,"Trump Administration Live Updates: President Meets With Zelensky, Says Putin Might Not Be Serious About Peace (Tim Balk/New York Times)"
2025-04-26,unknown,"Trump Live Updates: Latest News on Russia-Ukraine, Tariffs and More - The New York Times"
2025-04-28,unknown,"U.S. Backing Russia’s Takeover Of Crimea Could Imperil UN, World Order"
2025-04-30,unknown,Ros Atkins on... What's in the US-Ukraine resources deal?
2025-05-01,the-jerusalem-post,"US readies Russia sanctions over Ukraine, unclear if Trump will sign, sources say"
2025-05-03,unknown,"Trump suggests it may not be possible to broker peace in Ukraine, as Putin leaves open nuke option"
2025-05-04,rt,Romanian PM resigns after Ukraine critic’s win
2025-05-06,rt,Putin-proposed ceasefire enters force
2025-05-07,unknown,'Friends of steel': Xi and Putin pledge to stand together against U.S.
2025-05-09,unknown,Russia: Person injured in Ukrainian drone attack on Belgorod region
2025-05-11,unknown,"Trump says he could go to Turkey to join Russia, Ukraine - Reuters"
2025-05-12,rt,Moscow reacts to UN aviation agency’s MH17 vote
2025-05-14,the-jerusalem-post,Peace breakthrough unlikely as Putin declines to meet Zelensky in Turkey
2025-05-15,unknown,Pope Leo XIV offers to host Ukraine-Russia peace talks at the Vatican
2025-05-17,unknown,How Zelensky is holding up after three years of battle...
2025-05-19,unknown,Ukraine evacuates areas of Sumy ahead of expected Russian offensive
2025-05-20,unknown,Commentary: What to make of the restart in Russia-Ukraine ceasefire negotiations
2025-05-22,unknown,Imposing 500% tariffs on nations that trade with Russia will backfire
2025-05-23,unknown,Russia downs 95 Ukrainian drones over several regions
2025-05-25,unknown,Moscow slams Germany for talk over allowing Kiev long-range arms
2025-05-27,the-times-of-india,Thought U.S. and EU drones were superior? Russia unleashes drones that fly higher and faster — here's all about them
